Timestamp,Crane_ID,Vibration_X,Vibration_Y,Motor_Temp,Bearing_Temp,Hydraulic_Pressure,Load,RPM,Noise_Level
2026-04-27 00:00:00,CRANE_01,3.12,2.95,40.82,45.63,175.43,25.67,722.04,74.55
2026-04-27 00:01:00,CRANE_01,1.81,1.62,35.16,38.82,134.89,13.88,546.52,74.75
2026-04-27 00:02:00,CRANE_01,3.93,3.99,61.48,68.26,268.6,36.71,1180.92,71.98
2026-04-27 00:03:00,CRANE_01,2.91,2.77,41.7,45.25,167.31,24.4,794.43,70.53
2026-04-27 00:04:00,CRANE_01,3.23,3.58,55.07,60.47,217.21,33.45,961.24,75.9
2026-04-27 00:05:00,CRANE_01,2.92,3.13,41.81,47.32,182.03,24.77,781.15,80.53
2026-04-27 00:06:00,CRANE_01,2.74,2.63,42.22,43.24,177.38,29.79,754.11,73.97
2026-04-27 00:07:00,CRANE_01,3.63,3.5,51.17,55.94,224.7,39.84,964.29,72.87
2026-04-27 00:08:00,CRANE_01,4.08,4.01,59.45,62.82,265.96,37.99,1239.63,78.68
2026-04-27 00:09:00,CRANE_01,3.6,4.07,63.14,70.83,267.16,43.51,1213.61,79.46
2026-04-27 00:10:00,CRANE_01,3.75,2.98,53.96,61.25,216,32.17,923.74,77.71
2026-04-27 00:11:00,CRANE_01,2.49,3.19,40.03,43.55,185.64,21.85,726.15,75.53
2026-04-27 00:12:00,CRANE_01,4.15,4.32,59.9,61.92,272.88,43.48,1149.81,79
2026-04-27 00:13:00,CRANE_01,4.15,3.87,67.65,72.36,259.17,45.28,1214.16,75.84
2026-04-27 00:14:00,CRANE_01,3.61,3.97,51.88,54.75,216.8,30.92,987.69,79.7
2026-04-27 00:15:00,CRANE_01,3.34,4.22,54.05,56.76,215.35,37.41,994.57,76.46
2026-04-27 00:16:00,CRANE_01,3.87,3.63,61.87,67.15,270.42,35.77,1142.68,78.2
2026-04-27 00:17:00,CRANE_01,4.1,3.74,63.88,68.72,277.37,47.27,1191.64,79.74
2026-04-27 00:18:00,CRANE_01,4.21,5.24,64.42,70.12,276.34,45.26,1146.56,77.71
2026-04-27 00:19:00,CRANE_01,2.62,1.48,33.21,34.79,130.58,26.44,561.77,77.28
2026-04-27 00:20:00,CRANE_01,2.05,1.85,36.85,41.8,118.15,21.93,559.07,73.76
2026-04-27 00:21:00,CRANE_01,4.21,4.34,59.99,63.49,264.9,38.73,1129.48,81.17
2026-04-27 00:22:00,CRANE_01,3.93,3.71,48.69,51.96,234.05,31.46,945.57,77.68
2026-04-27 00:23:00,CRANE_01,2.66,2.35,46.07,47.92,175.62,28.65,823.12,75.35
2026-04-27 00:24:00,CRANE_01,2.77,2.54,42.17,45.59,180.04,31.31,857.06,69.68
2026-04-27 00:25:00,CRANE_01,2.79,2.53,41.47,44.73,174.42,32.25,813.89,76.5
2026-04-27 00:26:00,CRANE_01,3.19,3.23,54.36,59.28,223.75,35.59,997.16,75.77
2026-04-27 00:27:00,CRANE_01,2.93,2.97,45.26,49.29,184.59,26.45,785.8,77.65
2026-04-27 00:28:00,CRANE_01,2.47,2.36,44.89,50.08,184.13,31.14,785.06,72.91
2026-04-27 00:29:00,CRANE_01,3.88,3.99,64.02,67.17,262.13,43.22,1157.12,78.46
2026-04-27 00:30:00,CRANE_01,3.72,3.66,61.19,64.87,271.19,49.38,1172.95,74.43
2026-04-27 00:31:00,CRANE_01,2.8,2.47,43.29,49.59,178.27,30.01,790.25,75.64
2026-04-27 00:32:00,CRANE_01,3.41,3.55,56.12,61.56,241.15,31.16,1054.65,74.4
2026-04-27 00:33:00,CRANE_01,2.19,2.56,40.09,44.32,181.87,37.38,750.96,75.86
2026-04-27 00:34:00,CRANE_01,3.07,3.95,55.44,58.74,210.21,41.77,922.2,74.34
2026-04-27 00:35:00,CRANE_01,4.08,4.1,61.86,66.79,260.16,41.29,1198.52,74.79
2026-04-27 00:36:00,CRANE_01,2.8,2.5,45.87,50.04,188.57,28.34,773.69,78.51
2026-04-27 00:37:00,CRANE_01,2.2,2.45,29.08,34.11,142.82,12.21,577.38,76.55
2026-04-27 00:38:00,CRANE_01,3.81,2.99,48.23,52.15,226.99,34.84,932.35,79.63
2026-04-27 00:39:00,CRANE_01,2.13,1.76,30.21,32.62,133.85,25.78,568.25,71.88
2026-04-27 00:40:00,CRANE_01,2.01,1.73,30.11,32.31,150.07,21.18,582.87,73.36
2026-04-27 00:41:00,CRANE_01,3.27,3.23,51.8,52.35,211.8,41.83,998.19,77.47
2026-04-27 00:42:00,CRANE_01,3.37,3.11,48.47,52.78,217.87,27.89,1037.06,79.38
2026-04-27 00:43:00,CRANE_01,2.74,2.46,45.8,50.61,170.84,27.05,814.82,81.21
2026-04-27 00:44:00,CRANE_01,3.73,4.25,61.36,64.63,263.96,37.68,1183.08,77.31
2026-04-27 00:45:00,CRANE_01,2.58,2.95,43.24,45.77,179.93,31.76,759.22,76.87
2026-04-27 00:46:00,CRANE_01,2.31,2.74,42.64,45.28,184.24,19.69,759.59,74.76
2026-04-27 00:47:00,CRANE_01,2.29,1.87,33.58,35.89,138.59,28.21,607,73.97
2026-04-27 00:48:00,CRANE_01,4.17,3.9,63.21,66.98,278.05,43.27,1156.54,77.04
2026-04-27 00:49:00,CRANE_01,3.47,4.02,54.67,58.18,233.53,32.96,912.53,75.89
2026-04-27 00:50:00,CRANE_01,3.48,3.34,54.56,55.24,225.8,38.85,989.86,75.71
2026-04-27 00:51:00,CRANE_01,3.45,3.48,51.34,54.07,230.56,30.72,994.77,77.9
2026-04-27 00:52:00,CRANE_01,3.33,3.11,51.38,55.95,229.98,30.39,992.48,82.29
2026-04-27 00:53:00,CRANE_01,2.28,3.17,43.63,47.55,181.38,22.37,786.24,76.74
2026-04-27 00:54:00,CRANE_01,3.88,4.22,67.69,73.71,281.45,39.44,1175.56,81.04
2026-04-27 00:55:00,CRANE_01,2.68,2.59,39.46,40.98,185.72,28.37,770.65,80.37
2026-04-27 00:56:00,CRANE_01,2.66,2.64,35.25,39.17,177.29,31.48,773,72
2026-04-27 00:57:00,CRANE_01,4.73,4.1,63.02,66.98,270.29,41.28,1172.46,77.83
2026-04-27 00:58:00,CRANE_01,1.98,2.49,24.87,30.51,144.32,10.63,537.54,71.63
2026-04-27 00:59:00,CRANE_01,2.96,3.1,43.8,46.11,174.94,30.45,774,74.8
2026-04-27 01:00:00,CRANE_01,4.15,4.59,62.73,67.65,273.45,40.45,1205.95,77.75
